name,category,price,additional day price,deposit,count,description
SUPERGEN    Бензопила бензиновая цепная,Бензо-инструмент,1200,900,3000,1,"Сдавать ключи для цепи (1/50 или 1/25 смесь), цепь;  прокат 200р., 76 зв"
Бензопила  STHIL,Бензо-инструмент,1500,1200,3000,1,"Сдавать ключи для цепи  (1/50 смесь), цепь;  прокат 200р. 40см (16""), 0,325, 1,3мм., 57 зв"
Бензобур Huter ,Бензо-инструмент,1300,1000,5000,1,"Бур 100х1000мм,               Бур 200х1000мм,                       1,5 л.бенз. -  150 р "
Виброплита Кратон KR-PC 87,Бензо-инструмент,2500,2000,8000,1,Масло для 4х такт.
Виброплита AZTEC,Бензо-инструмент,2200,2000,8000,1,Масло для 4х такт.
Вибронога TSS RM 75L,Бензо-инструмент,3000,2500,10000,1,Масло для 4х такт. двиг.
Генератор бензиновый Endress ESE 504 DHS 380/220 В,Бензо-инструмент,2500,2000,8000,1,Масло для 4х такт. двиг.
"Генератор бензиновый HUTER 5,5 DY6500LXW + сварочный",Бензо-инструмент,3000,2500,10000,1,Масло для 4х такт. двиг.
"Генератор бензиновый КРАТОН GG 5,0",Бензо-инструмент,1800,1500,8000,1,Масло для 4х такт. двиг.
Генератор бензиновый SATURN AMS 3800,Бензо-инструмент,1400,1200,6000,1,Масло для 4х такт. двиг.
Культиватор Garden King MK-651,Бензо-инструмент,2000,1500,8000,1,Масло для 4х такт. двиг.
Культиватор Forza MK 85F,Бензо-инструмент,2500,2000,8000,1,Масло для 4х такт. двиг.
Мотокоса Huter,Бензо-инструмент,950,700,4000,1,"Ремень, инструкция, бензин с маслом        1.5л.- 150р.,      с ножом +200р"
Пушка тепловая (дизельная) Master B 100 CED,Бензо-инструмент,800,700,6000,1,
Пушка тепловая (дизельная) KERONA P-5000E-T,Бензо-инструмент,1000,900,7000,1,
Шовнорезчик Masalta MF 14-4,Бензо-инструмент,2800,2500,8000,1,"1мм диска 800р, двиг. HONDA GX 160                         Ремень 13х900"
Мотопомпа WEIMA 80-26 (грязная вода с илом),Бензо-инструмент,2000,1500,8000,1,Нагнет. Шланг 6м - 500р.              Всасыв. Шланг 6м -500р.
Воздуходувка 3в1 REZZ,Бензо-инструмент,800,700,5000,1,Мешок
Бетоносмеситель OLYMP MACHINE BM160,Электро-инструмент,850,750,8000,1,
Аккумуляторная болгарка Makita DGA504RF,Электро-инструмент,850,750,5000,1,
Аккумуляторный триммер Makita ,Электро-инструмент,950,850,5000,1,
Болгарка (шлифмашина угловая) Makita 9555NB,Электро-инструмент,600,500,3000,1,"Ключ, ручка"
Болгарка (шлифмашина угловая) Makita 9069,Электро-инструмент,700,600,4000,1,"Ключ, ручка"
Гайковерт Drillpro KDW9422,Электро-инструмент,500,400,3000,1,"2 аккумулятора, зарядник"
Виброрейка ЭВ-270А ,Электро-инструмент,900,500,5000,1,
Глубинный вибратор PATRIOT CV 100,Электро-инструмент,1000,900,3000,1,
Гравёр Дремел 3000,Электро-инструмент,300,250,2000,1,"Микро фрезерование, сверление, шлифование и полировка"
Заточной станок (наждак) КРАТОН BG 14-02,Электро-инструмент,250,200,2000,1,
Краскопульт BOSCH PSP 260,Электро-инструмент,550,400,3000,1,
Компрессор           PATRIOT EURO 50-260,Электро-инструмент,900,800,4000,1,Шланг -  100 р.          Краскопульт - 400 р.
Лобзик Makita 4324   Makita 4329,Электро-инструмент,450,350,2500,1,"Ключ, проверять гайку. Полотно 150р/ 1 шт"
Аккумуляторная мини мойка DELPAK,Электро-инструмент,350,250,2000,1,"бак для моющего средства, шланг 3м, веерная насадка, точечная насадка"
